                                   TITLE                                         GENRES 
                             Toy Story (1995)                    Animation|Children's|Comedy       
                       American Beauty (1999)                                   Comedy|Drama       
                              Election (1999)                                         Comedy       
                            Matrix, The (1999)                         Action|Sci-Fi|Thriller       
                          Dead Ringers (1988)                                 Drama|Thriller       
                               Rushmore (1998)                                         Comedy       
                         Simple Plan, A (1998)                                 Crime|Thriller       
                   Hands on a Hard Body (1996)                                    Documentary       
                          Pleasantville (1998)                                         Comedy       
                        Say Anything... (1989)                           Comedy|Drama|Romance       
                            Beetlejuice (1988)                                 Comedy|Fantasy       
                             Roger & Me (1989)                             Comedy|Documentary       
                            Buffalo 66 (1998)                            Action|Comedy|Drama       
                           Out of Sight (1998)                           Action|Crime|Romance       
                            I Went Down (1997)                            Action|Comedy|Crime       
                   Opposite of Sex, The (1998)                                   Comedy|Drama       
                      Good Will Hunting (1997)                                          Drama       
           Fast, Cheap & Out of Control (1997)                                    Documentary       
                      L.A. Confidential (1997)               Crime|Film-Noir|Mystery|Thriller      
                                Contact (1997)                                   Drama|Sci-Fi       
                    Grosse Pointe Blank (1997)                                   Comedy|Crime       
              Run Lola Run (Lola rennt) (1998)                           Action|Crime|Romance       
                               Dog Park (1998)                                 Comedy|Romance       
                        Raising Arizona (1987)                                         Comedy       
                           Total Recall (1990)               Action|Adventure|Sci-Fi|Thriller       
                         Jacob's Ladder (1990)                        Horror|Mystery|Thriller       
                      Creature Comforts (1990)                               Animation|Comedy       
                       Mo' Better Blues (1990)                                          Drama       
                     Do the Right Thing (1989)                                   Comedy|Drama       
                    She's Gotta Have It (1986)                                 Comedy|Romance       
